Date,Opinion
22-07-2019,"What “I” look for in a car, hmm. When I was working I wanted something that was fun to drive, sporty looking, and got good mileage. A Hyundai Elantra Coupe worked for me - it was comfortable, was nicely equipped (it was the upper SE trim) and had a manual transmission. And it had adequate power, barely.

Now I’m retired, so I wanted a fun toy to drive. So I got a Mustang Ecoboost equipped exactly the way I wanted it. It’s fun to drive, has a ton of power without being nuts (like GTs, Demons, Hellcats, Shelbys, etc.) and it is purposely equipped - luxury stuff I could care less about, this is functional and comfortable. It MUST have premium fuel so that’s what I use. I don’t drive like I did when I worked so the mileage is lighter (only at 9K right now after 1.5 years). Another reason I chose the Mustang is there is a ton of aftermarket aesthetic and performance parts available for it, so I’ve been making this car MINE. It’s fun to work on, fun to mod and a blast to drive. But this is probably not something for someone who puts a lot of miles on a car and has to have solid dependability for daily driving. Or for someone to whom a car is simply a transportation appliance."
14-01-2019,"For a daily driver, I look for features that fit my needs. AWD, decent cargo space, decent power, and good MPG not requiring premium fuel. All for a good value. And I now always avoid low profile wheels which is any rim size 17” and above. A decent stereo is important as well and if I can get a sunroof for a decent cost, that’s a huge plus.

Then I narrow my options down by researching the maintenance schedule of each to see how frequent the service is and how costly. I if course research overall reliability. This is what many people fail to research and will likely make or break how much you end up enjoying the car. I won’t buy a car that uses a timing belt. I won’t purchase a car with a CVT automatic. And I won’t buy a car that can’t go at least 5k miles between oil changes.

I also like to look in the engine bay. Some cars have very tight engine compartments and how the engine is designed can make simple maintenance very difficult and time consuming. Subaru uses boxer style engines where the cylinders sit at the bottom of the bay. This makes changing spark plugs a huge job. My old Subaru took 3 hours to change the plugs (having the right ratchet extensions would have helped a little). Meanwhile my new Tucson has so much room, I can have the plugs swapped in 20 min."
Apr-18,"without knowing your priorities, we don’t know what *you* look for - but can offer ideas that others might consider.

If it is for a new driver - then perhaps something with a GOOD safety record and a long bonnet - more likely to have a prang or two when new to driving so having a lot of space between the front of the car and your legs is not a bad plan. Also if you dent a 15 year old car three days after buying it, it is not so upsetting as if the car is worth £15,000

If you need to do hundreds of miles a week and NEED reliability, then something newer and if you are not in a VERY well paid job, you might want to consider fuel economy too. If you have some spare cash to invest and reckon the sums add up, you might even toy with an electric or hybrid car.

If you have a family, you might want a 4 /5 door car - rather than a coupe - enough room for the kids plus luggage or a “hot hatch” just for you and the occasional date? That may make a difference to what you want.

So it depends on how much you want to spend, how many people will be in the car, how many miles a week you will do, how important efficiency is…….

The list goes on - but without knowing your priorities, it is hard to offer guidance.

If you do decide on any given car, then it can be worth using Google - with a search term like:

Honda Civic 2008 (reliability OR review OR problems)

and then see if there are loads of good things or bad things being said about that particular year or model of car.

I just ran that very search and the second result seemed to reckon that make/model/year has a 4.5 out of 5 rating averaged out over 141 (at time of writing) reviews.

This way, if you start to “favour” a particular car, you can see what the reliability seems to be like."
14-11-2018,"Personally, I like to look for things that are easily grabbed and quickly sold.

Leave a bag from a big box electronics store? I'm grabbing that.

Leave your cell phone and/or GPS in the dash holder? It's now mine.

Expensive Helly Hanson winter jacket? That'll fetch me $25.00 on the street.

There's a million things that I look for in a car. Things of value that you, the dim-witted shopping mall parker, doesn't think of those things, never hides them, all because those people don't care to know the truth of criminal activity. Little do they know, I'm watching every move of every car and driver, ready to leap into action and look for things in a car."
15-03-2019,"Ample room, for me and the person behind me. That means, two persons of 2 metres tall sitting behind eachother. With headroom.

Good driving abilities, cruising speeds of 200 kmh, since I live near the Autobahn.

Nice entertainment systems, selfdriving capabilities if possible.

My ideal car would be a box van, where we could lie down or play cards during the trip, the four of us.

A selfdriven Mercedes Marco Polo Van would be nice."
15-04-2018,"I ask myself two simple questions.

The questions are:

Is it front wheel drive? No

Does it have a V8? Yes

From there I consider options and maybe color but I use those two requirements to guide all my other choices.

That’s what I look for in a car."
04-03-2019,"Start from how you are going to use the car, how much money per month you are prepared to part with on maintenance, fuel, etc.

Just for an example, for a long time, I was a fan of Toyota Prado for its looks without realizing that this is a perfect car for offroad and terrain while I barely leave the city and highway where Prado feels bulky and not at all sporty and cool. When I had a chance to drive that car on the road, it was a total disappointment compared to sporty crossovers I prefer driving, although I am still fascinated by Prado exterior. As a result, I am not considering this car anymore.

Then decide whether you will buy it new or used. There are very good reasons for the former and the latter so, for me, it is more a religious question I would say. I always buy used, letting the first owner pay 50% of the car depreciation during the first couple of years. Of course, that requires due diligence on the car you are buying, looking for fresh well-cared-for cars with low mileage but this is another story.

When buying a new car, try several makes and models, visit dealerships, sit in a car and have a test drive, preferably in the conditions you are going to use the car, be it a highway or jammed downtown streets."
07-09-2017,"I have never bought a brand new car and never will. Buying used has served me well. I almost never buy from a car lot as they are middle men to the previous owner who is the person I want to deal with and talk to. First thing to look at is that owner, ask them how long they owned it, ask if it has ever been in an accident. Original owner cars are desirable, someone who has had it less than a year is suspect...just why don't you want this car you just bought? Ask them things about the car, how it was serviced, if there is anything at all wrong with it that they know of. They either will know of some thing(s) or not, but it is good to get their input. What they say can be verified by a mechanic or their service records they should have kept."
06-05-2020,"Here are some factors that you should consider before you look to purchase a car.

Budget :

The first place to start is with the financial side of things: determining your budget and what type of car you can afford to buy with that budget. The reason you need to make this decision sooner rather than later is because it can be easy to get sucked into spending more money on a car once you begin to look at them. Instead, get your budget together and stick to it.

Safety features :

The most important factor that anyone should look forward to while buying a car is its safety measures. Always cross-check the government rules regarding safety norms more stringent for Four-wheelers and two-wheelers. There are various factors that need to double-check in it. According to the law, all cars should have dual airbags, ABS, reverse parking sensors, as a part of standard equipment. Also, check for, additional security features like Autonomous Emergency Braking and steering with Electronic stability control, among others.

Insurance :

As a first time buyer, your car insurance cost will be very high due to your lack of experience or driving history. This, coupled with higher prices for more powerful cars, could lead you to pay an awful lot for your car insurance. To make these things simple, we always suggest that a new car has to be bought with comprehensive car insurance. It is because it offers add-ons to cover the depreciation value of your car, and offers consumables cover, which includes, consumable items such as AC gas etc more.

Needs :

Next up, you need to think about how you will be using the car and what your driving needs are. If you are simply going to be doing a short journey to work and back each day, with the occasional weekend jaunt, a small, economical car could be the answer. Alternatively, if you are going to be going on longer journeys with regularity, you should be looking for a bigger car, and potentially a newer one, which will be able to handle such long drives without breaking down or costing too much on gas.

Monthly costs:

As mentioned before, running a car costs money which you must consider before choosing which make and model you will buy. Monthly costs include car insurance fees, gas, general maintenance such as cleaning, and annual service. Naturally, each car will vary in terms of monthly costs. Some are more economical than others, some are more likely to break down than others, and insurance costs vary from car to car. Make sure you have considered the monthly cost of your chosen car."
28-11-2017,"This is one of the most crucial criteria while choosing a vehicle. This one basically determines what how the car will serve. Is it a family sedan? Or even an estate? Or a tiny city compact car? Or quite the contrary, forest pick-up truck? I don’t think this criteria needs further advice on what body type serves what purpose. Now this is a dealbreaker to me. Every engine type has its own special purpose which it is typically not serving. The obvious example are diesel engines. Diesels were originally designed for the purpose of having huge amount of torque for relatively small engine displacement and therefore, towing some heavy things behind them. They also generate this torque in really low RPMs so running for hours and hours is not a problem for them. Thus trucks were born.COMFORT and ADD ONS

There’s not much to talk about here, if you want heated seats, go for them but try to limit all the add ons to what you will actually use. I’m deliberately using the word “use” because a heated steering wheel simply isn’t something one would need.

PRICE, obviously

Also quite speaking for itself."
